beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1769.9404275683546,18312,-424.5318662567296,0.6067431533207953,1,1000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2771.135038501042,18312,-426.4850814004645,0.4115362688948457,2,2000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,4599.824597564976,18312,-425.2185274067408,0.7281505534112278,3,3000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,501.5301554831434,18312,-424.5275845024421,0.2484809300909224,4,4000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,28168.914626299476,18312,-424.32831949244786,0.44604317326994736,5,5000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,5630.911301678015,18312,-423.74981149434115,0.6603328206790149,6,6000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,302.7249117341576,18312,-425.01978133813583,0.4975070182376907,7,7000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1164.215163038201,18312,-424.33201744062853,0.5799436745407158,8,8000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,901.745878596196,18312,-424.2276087429011,0.6036414014876231,9,9000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1439.4311382861054,18312,-424.5796773705494,1.5928509054787432,10,10000300,0.01,3,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3722.3473485134173,18312,-423.7932092449072,0.7143989607955886,1,1003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,653.866448720004,18312,-423.7538458019214,1.781409079362208,2,2003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,12920.29078291375,18312,-424.3060421340444,0.5386452291448015,3,3003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,485.3101358981732,18312,-425.2909070431233,0.30640804015952405,4,4003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,5208.47784712259,18312,-425.1566107838123,0.6479355940897377,5,5003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,423.697634184492,18312,-426.14788973355866,0.4960295301470189,6,6003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,914.3095480282814,18312,-424.0480562798872,1.6252502552911556,7,7003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,5469.167354064804,18312,-424.89630927504885,0.35750821840559194,8,8003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1429.8776167765818,18312,-424.62547134853025,0.5023884297359925,9,9003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,748.1976691666249,18312,-424.1909628141264,0.90707158008557,10,10003000,0.01,30,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,5319.6364330271845,18312,-420.160428770206,4.367879867951635,1,1000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,433.4604775812399,18312,-424.7886265065392,0.47806704210397916,2,2000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1659.9992102180593,18312,-425.2256908706037,0.33224340272866515,3,3000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,547.2110597338456,18312,-425.48714290974107,0.5364761910140262,4,4000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,289.05897440431545,18312,-426.1933345388699,1.1954119369946832,5,5000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,7960.319955315482,18312,-424.5796881223893,0.5964542420967904,6,6000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,753.5732734152085,18312,-425.941257819622,0.37284922011378996,7,7000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,874.3516783615718,18312,-422.7018995757505,2.3716073243329716,8,8000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,645.2395445894903,18312,-424.93499218208615,1.749508094230822,9,9000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1346.0684589063158,18312,-424.84832235660116,0.6681547404100958,10,10000400,0.01,4,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,6470.9581019813295,18312,-425.4819172834652,0.7143550120007996,1,1000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,917.1329539739131,18312,-424.45563144593234,1.1272285762486793,2,2000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,725.4892111063451,18312,-425.63499809960905,0.6214590152709866,3,3000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,30414.75591864752,18312,-424.16353637361243,1.1997298192758146,4,4000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,721.8240783599952,18312,-424.56859893212254,0.844115115760111,5,5000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2953.9963317680845,18312,-424.0028130676343,1.1147734580723463,6,6000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,523.8788285170789,18312,-425.8469203866165,0.5044893754359107,7,7000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2712.363740095272,18312,-423.180637732485,2.1233570663088512,8,8000500,0.01,5,18312
